1.8	1
1.95	85
2.3	217
2.65	346
3	445
3.35	510
3.7	528
4.05	510
4.4	470
4.75	410
5.1	346
5.45	286
5.8	230
6.14	182
6.5	135
6.85	99
7.2	68
7.5	41
7.9	21
8.25	8.5
8.6	1.65
8.95	0.28
9.3	0.25
9.63	0.1
9.98	0.05
10.35	0.03
